,CTL,TSB,TSS,Duration,Intensity,SDNN,RMSSD,Feeling,Run EF,Swim hrs,Bike hrs,Run hrs,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,Month Run EF,Week Volume,Month Volume,Year Volume,Month TSS,Year TSS,Week IF,Month IF,Year IF,FeelPrev,FeelPrev2,FeelPrev3,FeelPrev4,FeelPrev4avg,Swim hrs mo,Bike hrs mo,Run hrs mo,HRZone1MinutesMonth,HRZone2MinutesMonth,HRZone3MinutesMonth,HRZone4MinutesMonth,HRZone5MinutesMonth,HRZone6MinutesMonth,HRZone7MinutesMonth,DurationPrev,IntensityPrev,SDNN7,RMSSD2
4/20/2013,40.24122602,15.79798707,181,3.59,0.643333333,56.50483559,41.61121857,,1.153846154,0,2.25,1.01,16,21,5,0,0,0,0,0.5694121,1.761428571,1.321785714,0.10139726,75.64285714,5.802739726,0.615833333,0.411708333,0.031583105,,,,,5,0,0,0,201,317,284,32,11,7,1,0.89,0.5,56.50483559,-41.61121857
4/21/2013,39.7414558,-2.327906399,19,0.53,0.59,56.50483559,41.61121857,,0,0,0,0,6,4,0,0,0,0,0,0.5694121,1.565714286,1.340714286,0.102849315,76.32142857,5.854794521,0.606547619,0.432779762,0.033199543,,,,,5,0,0,0,207,321,284,32,11,7,1,3.59,0.643333333,56.50483559,-41.61121857
4/22/2013,39.0181612,-3.369072556,9,0.2,0.65,56.50483559,41.61121857,,0,0,0,0,6,4,0,0,0,0,0,0.5694121,1.497142857,1.347857143,0.10339726,76.64285714,5.879452055,0.648452381,0.455994048,0.034980365,,,,,5,0,0,0,213,325,284,32,11,7,1,0.53,0.59,56.50483559,-41.61121857
4/23/2013,38.35894112,-3.070616388,11,0.31,0.58,56.50483559,41.61121857,,0,0,0,0,2,0,0,0,0,0,0,0.5694121,1.272857143,1.358928571,0.104246575,77.03571429,5.909589041,0.633809524,0.476708333,0.036569406,,,,,5,0,0,0,215,325,284,32,11,7,1,0.2,0.65,56.50483559,-41.61121857
4/24/2013,49.05587842,49.82583532,493,4.51,0.99,56.50483559,41.61121857,,0,0,2.25,2.26,62,48,7,0,0,0,0,0.5694121,1.758571429,1.52,0.11660274,94.64285714,7.260273973,0.666666667,0.512065476,0.039281735,,,,,5,0,0,0,277,373,291,32,11,7,1,0.31,0.58,56.50483559,-41.61121857
4/25/2013,48.96045044,-0.444499075,45,0.88,0.68,56.50483559,41.61121857,,1.094890511,0,0,0.88,13,31,4,0,0,0,0,0.608515332,1.558571429,1.551428571,0.119013699,96.25,7.383561644,0.661904762,0.53635119,0.041144749,,,,,5,0,0,0,290,404,295,32,11,7,1,4.51,0.99,56.50483559,-41.61121857
4/26/2013,49.3613623,1.867428764,66,0.94,0.79,56.50483559,41.61121857,,1.108280255,0,0,0.94,1,4,19,20,9,2,0,0.64809677,1.565714286,1.585,0.121589041,98.60714286,7.564383562,0.703333333,0.564565476,0.043309132,,,,,5,0,0,0,291,408,314,52,20,9,1,0.88,0.68,56.50483559,-41.61121857
4/27/2013,51.65863476,10.70058805,147,3.55,0.69,56.50483559,41.61121857,,1.279411765,0,2.88,0.67,36,22,10,0,0,0,0,0.693790047,1.56,1.711785714,0.131315068,103.8571429,7.967123288,0.71,0.589208333,0.045199543,,,,,5,0,0,0,327,430,324,52,20,9,1,0.94,0.79,56.50483559,-41.61121857
4/28/2013,52.46662916,3.763600264,86,1.49,0.71,56.50483559,41.61121857,,1.258064516,0,0,1.49,41,12,0,0,0,0,0,0.738720923,1.697142857,1.765,0.13539726,106.9285714,8.202739726,0.727142857,0.614565476,0.047144749,,,,,5,0,0,0,368,442,324,52,20,9,1,3.55,0.69,56.50483559,-41.61121857
4/29/2013,51.23217787,-5.750016576,0,0,0,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.688605716,1.668571429,1.734642857,0.13539726,105,8.202739726,0.634285714,0.59539881,0.047144749,,,,,5,0,0,0,366,438,324,52,20,9,1,1.49,0.71,56.50483559,-41.61121857
4/30/2013,51.39141331,0.741711256,58,1.06,0.71,56.50483559,41.61121857,,1.222222222,0,0.75,0.31,1,1,0,0,0,0,0,0.688778248,1.775714286,1.698214286,0.13830137,102.3928571,8.361643836,0.652857143,0.595041667,0.049089954,,,,,5,0,0,0,363,425,293,52,20,9,1,0,0,56.50483559,-41.61121857
5/1/2013,56.29962151,22.862205,260,3.59,0.56,56.50483559,41.61121857,,1.216783217,0,0,3.59,59,32,36,6,1,0,0,0.690003301,1.644285714,1.757142857,0.148136986,107.8214286,9.073972603,0.591428571,0.591113095,0.050624201,,,,,5,0,0,0,398,413,324,57,21,9,1,1.06,0.71,56.50483559,-41.61121857
5/2/2013,55.70436408,-2.772681328,31,1.19,0.356666667,56.50483559,41.61121857,,1.157894737,0,0,0.32,1,1,0,0,0,0,0,0.687138997,1.688571429,1.733571429,0.15139726,105.8571429,9.15890411,0.545238095,0.581113095,0.05160137,,,,,5,0,0,0,391,400,322,57,21,9,1,3.59,0.56,56.50483559,-41.61121857
5/3/2013,55.45250845,-1.173131796,45,0.78,0.24,56.50483559,41.61121857,,1.071428571,0,0,0.78,12,13,5,2,0,0,6,0.725404303,1.665714286,1.761428571,0.153534247,107.4642857,9.282191781,0.466666667,0.589684524,0.052258904,,,,,5,0.53,17.55,21.83,403,413,327,59,21,9,7,1.19,0.356666667,56.50483559,-41.61121857
5/4/2013,58.47701411,14.0880064,184,3.38,0.76,56.50483559,41.61121857,,1.109589041,0,2.34,1.04,6,19,33,3,1,0,0,0.765032483,1.641428571,1.739285714,0.162794521,107.9642857,9.78630137,0.476666667,0.59352381,0.054341096,,,,,5,0.53,17.72,21.37,405,408,339,60,22,9,6,0.78,0.24,56.50483559,-41.61121857
5/5/2013,57.1011486,-6.408717423,0,0,0,56.50483559,41.61121857,5,0,,,,0,0,0,0,0,0,0,0.725236565,1.428571429,1.683571429,0.162794521,104.8928571,9.78630137,0.375238095,0.577095238,0.054341096,,,,,5,0,0,0,384,389,326,54,17,2,6,3.38,0.76,56.50483559,-41.61121857
5/6/2013,59.78099647,12.48260645,171,2.9,0.584,56.50483559,41.61121857,,0,0,2.34,0,6,2,2,1,0,0,0,0.725236565,1.842857143,1.733571429,0.170739726,107.9642857,10.25479452,0.458666667,0.582119048,0.055941096,5,,,,5,0,0,0,390,391,328,55,17,2,6,0,0,56.50483559,-41.61121857
5/7/2013,61.29196131,7.038003788,124,2.62,0.63,56.50483559,41.61121857,,1.181818182,0,1.04,1.25,47,28,4,5,1,0,0,0.723371409,2.065714286,1.7,0.177917808,105,10.59452055,0.447238095,0.579559524,0.057667123,,5,,,5,0,0,0,407,393,298,59,18,2,6,2.9,0.584,56.50483559,-41.61121857
5/8/2013,62.2497528,4.461348118,102,1.74,0.43,56.50483559,41.61121857,,1.265625,0,0,1.41,30,9,15,1,0,0,0,0.723688132,1.801428571,1.673571429,0.182684932,102.3571429,10.8739726,0.428666667,0.568369048,0.058845205,,,5,,5,0,0,0,428,390,284,51,12,2,6,2.62,0.63,56.50483559,-41.61121857
5/9/2013,61.42038557,-3.863153896,27,0.75,0.575,56.50483559,41.61121857,,1.2,0,0,0.42,5,0,0,0,0,0,0,0.723688132,1.738571429,1.601785714,0.184739726,97.60714286,10.94794521,0.459857143,0.563636905,0.060420548,,,,5,5,0,0,0,415,359,242,49,12,2,6,1.74,0.43,56.50483559,-41.61121857
5/10/2013,62.37515545,4.447273617,102,2.23,0.49,56.50483559,41.61121857,,1.11627907,0.64,0,1.26,26,13,11,1,0,0,0,0.763555241,1.945714286,1.621071429,0.190849315,95.21428571,11.22739726,0.495571429,0.562494048,0.061763014,,,,,5,0,0,0,416,336,233,50,12,2,6,0.75,0.575,56.50483559,-41.61121857
5/11/2013,65.21325459,13.21973351,183,4.13,0.678,56.50483559,41.61121857,,1.261363636,0,2.68,1.03,84,42,18,6,1,7,15,0.808603943,2.052857143,1.753928571,0.202164384,101.1785714,11.72876712,0.483857143,0.571589286,0.063620548,,,,,5,0,0,0,500,378,251,56,13,9,21,2.23,0.49,56.50483559,-41.61121857
5/12/2013,63.91417984,-6.051029658,10,0.33,0.53,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.764159498,2.1,1.697857143,0.203068493,97.42857143,11.75616438,0.559571429,0.567125,0.065072603,,,,,5,0,0,0,482,340,236,56,13,9,21,4.13,0.678,56.50483559,-41.61121857
5/13/2013,62.64567012,-5.908659136,10,0.42,0.53,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.764159498,1.745714286,1.688571429,0.204219178,97.03571429,11.78356164,0.551857143,0.573315476,0.066524658,,,,,5,0,0,0,475,334,232,56,13,9,21,0.33,0.53,56.50483559,-41.61121857
5/14/2013,63.24221474,2.778677026,88,1.98,0.378,56.50483559,41.61121857,,0,0,1.11,0,23,13,6,3,3,2,0,0.721302355,1.654285714,1.692142857,0.209643836,96.32142857,12.02465753,0.515857143,0.562440476,0.067560274,,,,,5,0,0,0,489,335,207,49,16,11,21,0.42,0.53,56.50483559,-41.61121857
5/15/2013,64.17764837,4.357206246,103,1.85,0.655,56.50483559,41.61121857,,1.254901961,0,0,1.43,7,8,18,16,8,14,3,0.766120282,1.67,1.718571429,0.214712329,97.78571429,12.30684932,0.548,0.558690476,0.069354795,,,,,5,0,0,0,496,343,225,65,24,25,24,1.98,0.378,56.50483559,-41.61121857
5/16/2013,64.33816679,0.747687351,71,1.74,0.58,56.50483559,41.61121857,,1.069767442,0,0,1.32,27,28,3,0,0,0,0,0.76146912,1.811428571,1.699285714,0.219479452,95.21428571,12.50136986,0.548714286,0.553928571,0.070943836,,,,,5,0,0,0,519,355,196,64,24,25,24,1.85,0.655,56.50483559,-41.61121857
5/17/2013,65.43604103,5.113847005,111,2.16,0.5025,56.50483559,41.61121857,,1.037593985,0,0.53,1.21,27,11,9,3,2,2,14,0.752134295,1.801428571,1.744642857,0.22539726,97.75,12.80547945,0.5505,0.554017857,0.072320548,,,,,5,0,0,0,544,366,205,67,26,27,38,1.74,0.58,56.50483559,-41.61121857
5/18/2013,68.08448112,12.33631053,178,3.88,0.4725,56.50483559,41.61121857,,1.153846154,0,2.3,1.16,88,43,15,4,1,0,0,0.752134295,1.765714286,1.755,0.236027397,97.64285714,13.29315068,0.521142857,0.547916667,0.073615068,,,,,5,0,0,0,616,388,215,71,27,27,38,2.16,0.5025,56.50483559,-41.61121857
5/19/2013,66.95313439,-5.269760378,20,0.62,0.555,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.752134295,1.807142857,1.758214286,0.237726027,97.67857143,13.34794521,0.524714286,0.546666667,0.075135616,,,,,5,0,0,0,610,384,215,71,27,27,38,3.88,0.4725,56.50483559,-41.61121857
5/20/2013,65.61312319,-6.241709673,10,0.33,0.265,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.752134295,1.794285714,1.762857143,0.238630137,97.71428571,13.37534247,0.486857143,0.532916667,0.075861644,,,,,5,0,0,0,604,380,215,71,27,27,38,0.62,0.555,56.50483559,-41.61121857
5/21/2013,64.3046402,-6.094852772,10,0.33,0.53,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.752134295,1.558571429,1.763571429,0.239534247,97.67857143,13.40273973,0.508571429,0.531130952,0.077313699,,,,,5,0,0,0,602,380,215,71,27,27,38,0.33,0.265,56.50483559,-41.61121857
5/22/2013,63.02694361,-5.951451166,10,0.33,0.53,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.752134295,1.341428571,1.614285714,0.240438356,80.42857143,13.43013699,0.490714286,0.514702381,0.078765753,,,,,5,0,0,0,540,332,208,71,27,27,38,0.33,0.53,56.50483559,-41.61121857
5/23/2013,61.77930907,-5.811423558,10,0.33,0.53,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.713031063,1.14,1.594642857,0.241342466,79.17857143,13.45753425,0.483571429,0.509345238,0.080217808,,,,,5,0,0,0,527,301,204,71,27,27,38,0.33,0.53,56.50483559,-41.61121857
5/24/2013,62.09036963,1.448905585,75,2.7,0.525,56.50483559,41.61121857,,0,0,2.37,0,68,37,9,2,1,1,1,0.673449625,1.217142857,1.6575,0.248739726,79.5,13.6630137,0.486785714,0.499880952,0.081656164,,,,,5,0,0,0,594,334,194,53,19,26,39,0.33,0.53,56.50483559,-41.61121857
5/25/2013,62.41763977,1.524409067,76,1.33,0.67,56.50483559,41.61121857,,0,0,1,0,0,0,0,0,0,0,0,0.627756348,0.852857143,1.578214286,0.252383562,76.96428571,13.87123288,0.515,0.499166667,0.083491781,,,,,5,0,0,0,558,312,184,53,19,26,39,2.7,0.525,56.50483559,-41.61121857
5/26/2013,64.47830498,9.598482523,150,2.17,0.72,56.50483559,41.61121857,,1.25,0,0,1.84,18,12,14,1,1,7,38,0.627468329,1.074285714,1.6025,0.258328767,79.25,14.28219178,0.538571429,0.49952381,0.085464384,,,,,5,0,0,0,535,312,198,54,20,33,77,1.33,0.67,56.50483559,-41.61121857
5/27/2013,63.19652235,-5.970483747,10,0.42,0.265,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.627468329,1.087142857,1.6175,0.259479452,79.60714286,14.30958904,0.538571429,0.508988095,0.086190411,,,,,5,0,0,0,535,312,198,54,20,33,77,2.17,0.72,56.50483559,-41.61121857
5/28/2013,64.72123888,7.10205852,128,2.63,0.66,56.50483559,41.61121857,,1.278688525,0,1.63,0.58,55,10,2,6,4,1,0,0.629484983,1.415714286,1.673571429,0.266684932,82.10714286,14.66027397,0.557142857,0.507202381,0.08799863,,,,,5,0,0,0,589,321,200,60,24,34,77,0.42,0.265,56.50483559,-41.61121857
5/29/2013,64.49251453,-1.065387383,55,1.04,0.66,56.50483559,41.61121857,,1.090909091,0,0,0.62,10,11,6,2,3,4,0,0.624989478,1.517142857,1.5825,0.269534247,74.78571429,14.8109589,0.575714286,0.51077381,0.089806849,,,,,5,0,0,0,540,300,170,56,26,38,77,2.63,0.66,56.50483559,-41.61121857
5/30/2013,67.30432409,13.0972779,184,3.49,0.64,56.50483559,41.61121857,,0,0,2,0,14,0,0,0,0,0,0,0.583636095,1.968571429,1.664642857,0.27909589,80.25,15.31506849,0.591428571,0.520892857,0.091560274,,,,,5,0,0,0,553,299,170,56,26,38,77,1.04,0.66,56.50483559,-41.61121857
5/31/2013,66.35603133,-4.417103506,27,0.9,0.765,56.50483559,41.61121857,,0,0.48,0,0,0,0,0,0,0,0,0,0.545370789,1.711428571,1.668928571,0.281561644,79.60714286,15.3890411,0.625714286,0.539642857,0.093656164,,,,,5,0,0,0,541,286,165,54,26,38,71,3.49,0.64,56.50483559,-41.61121857
6/1/2013,67.9240515,7.303764901,133,3.51,0.5975,56.50483559,41.61121857,,1.322033898,0,2.5,0.59,70,25,7,0,0,0,0,0.552958105,2.022857143,1.673571429,0.291178082,77.78571429,15.75342466,0.615357143,0.533839286,0.095293151,,,,,5,0,0,0,605,292,139,51,25,38,71,0.9,0.765,56.50483559,-41.61121857
6/2/2013,68.2081782,1.323448926,80,1.6,0.625,56.50483559,41.61121857,,1.344827586,0,0,1.18,19,0,0,0,0,0,0,0.600987662,1.941428571,1.730714286,0.295561644,80.64285714,15.97260274,0.601785714,0.556160714,0.097005479,,,,,5,1.12,19.5,15.3,624,292,139,51,25,38,71,3.51,0.5975,56.50483559,-41.61121857
6/3/2013,66.90922289,-6.050473317,13,0.42,0.53,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.600987662,1.941428571,1.642142857,0.296712329,75,16.00821918,0.639642857,0.554232143,0.098457534,,,,,5,1.12,17.16,15.3,618,290,137,50,25,38,71,1.6,0.625,56.50483559,-41.61121857
6/4/2013,71.02881356,19.18886132,242,5.49,0.62,56.50483559,41.61121857,,0,0,4.01,0,89,36,27,9,0,0,0,0.55877987,2.35,1.744642857,0.311753425,79.21428571,16.67123288,0.633928571,0.553875,0.100156164,,,,,5,1.12,20.13,14.05,660,298,160,54,24,38,71,0.42,0.53,56.50483559,-41.61121857
6/5/2013,71.40458864,1.750342804,87,1.5,0.436666667,56.50483559,41.61121857,,1.272727273,0,0,1.08,15,19,11,0,0,0,0,0.559033522,2.415714286,1.736071429,0.315863014,78.67857143,16.90958904,0.60202381,0.554113095,0.101352511,,,,,5,1.12,20.13,13.72,645,308,156,53,24,38,71,5.49,0.62,56.50483559,-41.61121857
6/6/2013,77.23009106,27.13491875,319,5.91,0.655,56.50483559,41.61121857,,1.191176471,0,4,0.51,80,48,16,1,0,0,0,0.558718396,2.761428571,1.920357143,0.332054795,89.10714286,17.78356164,0.604166667,0.556970238,0.103147032,,,,,5,1.12,24.13,13.81,720,356,172,54,24,38,71,1.5,0.436666667,56.50483559,-41.61121857
6/7/2013,77.48348885,1.180315106,88,1.6,0.64,56.50483559,41.61121857,,1.275590551,0,0,1.18,38,12,0,0,0,0,0,0.564408092,2.861428571,1.897857143,0.336438356,88.60714286,18.02465753,0.586309524,0.562327381,0.104900457,,,,,5,0.48,24.13,13.73,732,355,161,53,24,38,71,5.91,0.655,56.50483559,-41.61121857
6/8/2013,81.07194512,16.71486202,230,5.79,0.566666667,56.50483559,41.61121857,,1.180327869,0,5.05,0.32,113,76,40,10,2,2,13,0.561513957,3.187142857,1.957142857,0.35230137,90.28571429,18.65479452,0.581904762,0.55835119,0.106452968,,,,,5,0.48,26.5,13.02,761,389,183,57,25,33,69,1.6,0.64,56.50483559,-41.61121857
6/9/2013,79.47032706,-7.460262247,13,0.42,0.265,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.561513957,3.018571429,1.960357143,0.353452055,90.39285714,18.69041096,0.53047619,0.548886905,0.107178995,,,,,5,0.48,26.5,13.02,761,389,183,57,25,33,69,5.79,0.566666667,56.50483559,-41.61121857
6/10/2013,77.83580744,-7.61351622,10,0.33,0.265,56.50483559,41.61121857,,0,0,0,0,0,0,0,0,0,0,0,0.561513957,3.005714286,1.957142857,0.354356164,90.39285714,18.71780822,0.492619048,0.539422619,0.107905023,,,,,5,0.48,26.5,13.02,761,389,183,57,25,33,69,0.42,0.265,56.50483559,-41.61121857
6/11/2013,78.73374652,4.182558387,116,2.49,0.626666667,56.50483559,41.61121857,,0,0,1.14,0,19,3,6,10,5,6,0,0.561513957,2.577142857,1.975357143,0.361178082,91.39285714,19.03561644,0.493571429,0.548303571,0.109621918,,,,,5,0.48,26.53,13.02,757,379,183,64,27,37,69,0.33,0.265,56.50483559,-41.61121857
6/12/2013,77.44595378,-5.998478552,24,0.56,0.62,56.50483559,41.61121857,,1.045454545,0,0,0.56,15,6,3,1,0,0,0,0.554033692,2.442857143,1.929285714,0.362712329,88.57142857,19.10136986,0.519761905,0.547053571,0.111320548,,,,,5,0.48,26.53,12.15,765,377,168,49,19,23,66,2.49,0.626666667,56.50483559,-41.61121857
6/13/2013,77.74132931,1.375845466,90,2.24,0.62,56.50483559,41.61121857,,0,0,1.2,0,30,16,9,5,0,0,1,0.515827712,1.918571429,1.947142857,0.368849315,89.25,19.34794521,0.514761905,0.548482143,0.113019178,,,,,5,0.48,27.73,10.83,768,365,174,54,19,23,67,0.56,0.62,56.50483559,-41.61121857
6/14/2013,76.45335816,-5.999309579,23,0.46,0.34,56.50483559,41.61121857,,1.069767442,0,0,0.46,9,5,3,0,0,0,0,0.516976764,1.755714286,1.886428571,0.370109589,86.10714286,19.4109589,0.471904762,0.542678571,0.113950685,,,,,5,0.48,27.2,10.08,750,359,168,51,17,21,53,2.24,0.62,56.50483559,-41.61121857
6/15/2013,76.08976671,-1.693592042,61,1.79,0.59,56.50483559,41.61121857,,0,0,1.79,0,37,16,2,2,0,0,1,0.475767973,1.184285714,1.811785714,0.375013699,81.92857143,19.57808219,0.475238095,0.546875,0.115567123,,,,,5,0.48,26.69,8.92,699,332,155,49,16,21,54,0.46,0.34,56.50483559,-41.61121857
6/16/2013,76.15823959,0.318943487,79,1.9,0.345,56.50483559,41.61121857,,1.2,0.96,0,0.94,21,5,2,0,0,0,0,0.518625116,1.395714286,1.8575,0.380219178,84.03571429,19.79452055,0.486666667,0.539375,0.116512329,,,,,5,1.44,26.69,9.86,720,337,157,49,16,21,54,1.79,0.59,56.50483559,-41.61121857
